country,subj_id,gender,age,experimenter,location,character_cat,character_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,12,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,13,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,14,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,15,universal,pray,like when you pray,no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,16,universal,hear things,like when you hear a noise,no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,17,universal,get hungry,like when you feel like you need to eat something,no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,18,universal,feel love,like when you really like somebody and care about them a lot,no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,19,universal,feel guilty,like when you feel bad because you did something mean,no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,20,universal,think about things,like when you have a thought or an idea about something,yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,21,universal,feel pain,like when something hurts you,yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,22,universal,feel happy,like when you feel good,yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,23,universal,choose what to do,like when you decide between different things,yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,24,universal add-on,have souls,[NONE],yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,25,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,26,universal add-on,have minds,[NONE],no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,1,universal,remember things,like when you remember something that happened before,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,2,universal,hear things,like when you hear a noise,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,3,universal,think about things,like when you have a thought or an idea about something,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,4,universal,choose what to do,like when you decide between different things,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,5,universal,feel guilty,like when you feel bad because you did something mean,no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,6,universal,feel scared,like when you feel afraid,no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,7,universal,feel shy,like when you feel quiet or embarrassed,no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,8,universal,pray,like when you pray,no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,9,universal,feel proud,like when you feel really good about something you did,no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,10,universal,feel tired,like when you feel sleepy,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,11,universal,feel sad,like when you feel bad or unhappy,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,12,universal,sense temperatures,like when you can tell if something is warm or cool,no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,13,universal,feel pain,like when something hurts you,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,14,universal,"feel sick, like when you feel like you might vomit",[NONE],no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,15,universal,get angry,like when you feel mad,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,16,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,17,universal,feel happy,like when you feel good,no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,18,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,19,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,20,universal,get hungry,like when you feel like you need to eat something,no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,21,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,22,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,23,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,24,universal add-on,bleed if they touch something sharp,[NONE],no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,25,universal add-on,have minds,[NONE],no,no,0
Vanuatu,vt_children_007_ghosts,male,8,LT,eratap school,universal,ghosts,ghosts,4,26,universal add-on,have souls,[NONE],yes,yes,1
Vanuatu,vt_children_008_mice,male,8,LT,matanvat village,universal,mice,mice,5,1,universal,feel proud,like when you feel really good about something you did,no,no,0
Vanuatu,vt_children_008_mice,male,8,LT,matanvat village,universal,mice,mice,5,2,universal,feel scared,like when you feel afraid,yes,yes,1
Vanuatu,vt_children_008_mice,male,8,LT,matanvat village,universal,mice,mice,5,3,universal,hear things,like when you hear a noise,yes,yes,1
Vanuatu,vt_children_008_mice,male,8,LT,matanvat village,universal,mice,mice,5,4,universal,sense when things are far away,like when you see that something is far away from you,no,no,0
Vanuatu,vt_children_008_mice,male,8,LT,matanvat village,universal,mice,mice,5,5,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0
Vanuatu,vt_children_008_mice,male,8,LT,matanvat village,universal,mice,mice,5,6,universal,feel love,like when you really like somebody and care about them a lot,no,no,0
